iter	Passed	Remaining
0	133	132948
1	133	66819
2	134	44778
3	135	33781
4	136	27171
5	137	22762
6	138	19612
7	139	17250
8	139	15411
9	140	13938
10	141	12732
11	142	11723
12	143	10906
13	144	10183
14	145	9542
15	146	8983
16	146	8491
17	147	8053
18	148	7664
19	149	7309
20	149	6992
21	150	6700
22	151	6447
23	152	6210
24	153	5990
25	154	5784
26	155	5596
27	156	5423
28	157	5262
29	158	5108
30	158	4965
31	159	4829
32	160	4703
33	161	4595
34	162	4483
35	163	4377
36	164	4277
37	165	4179
38	165	4087
39	166	4000
40	167	3917
41	168	3837
42	169	3761
43	169	3687
44	170	3624
45	171	3562
46	172	3503
47	173	3444
48	174	3385
49	175	3328
50	176	3275
51	176	3222
52	177	3172
53	178	3122
54	178	3075
55	179	3030
56	180	2992
57	181	2952
58	182	2911
59	183	2871
60	184	2842
61	185	2806
62	186	2773
63	187	2739
64	188	2707
65	189	2674
66	189	2643
67	190	2613
68	192	2594
69	193	2573
70	194	2548
71	195	2521
72	196	2495
73	197	2470
74	198	2444
75	199	2420
76	199	2395
77	200	2372
78	201	2349
79	202	2326
80	203	2304
81	208	2338
82	209	2314
83	211	2306
84	212	2286
85	219	2328
86	219	2308
87	220	2288
88	222	2274
89	226	2287
90	230	2301
91	269	2656
92	283	2760
93	284	2739
94	285	2721
95	286	2697
96	287	2675
97	290	2671
98	291	2651
99	292	2630
100	293	2608
101	293	2587
102	294	2567
103	296	2550
104	297	2532
105	298	2513
106	298	2494
107	299	2475
108	300	2459
109	301	2442
110	302	2424
111	303	2406
112	304	2389
113	305	2371
114	306	2355
115	307	2340
116	307	2323
117	308	2307
118	309	2293
119	310	2277
120	311	2262
121	312	2248
122	313	2237
123	314	2224
124	315	2210
125	316	2196
126	317	2182
127	318	2168
128	319	2156
129	320	2142
130	321	2130
131	321	2116
132	322	2104
133	323	2091
134	325	2084
135	326	2074
136	327	2062
137	328	2051
138	329	2040
139	330	2030
140	331	2018
141	332	2006
142	333	1995
143	333	1985
144	334	1974
145	335	1962
146	337	1957
147	338	1947
148	339	1937
149	340	1927
150	341	1918
151	342	1908
152	343	1899
153	343	1889
154	344	1879
155	345	1870
156	346	1860
157	347	1850
158	348	1841
159	349	1833
160	349	1823
161	350	1815
162	351	1806
163	352	1798
164	353	1789
165	354	1780
166	355	1772
167	356	1763
168	357	1755
169	357	1747
170	358	1740
171	360	1735
172	361	1729
